,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit
0,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,1,3,12691
1,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,1,2,8256
2,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,1,0,3418
3,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,4,1,3313
4,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,1,0,4716
5,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,1,2,4010
6,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,1,3,34516
7,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,29081
8,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,2,0,22352
9,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,3,3,11656
10,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,3,2,6748
11,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,2,3,9095
12,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,6,0,11751
13,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,1,3,8547
14,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,2,2,2436
15,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,1,2,4234
16,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,2,3,30367
17,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,1,13535
18,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,3,3193
19,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,1,2,14470
20,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,2,0,20979
21,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,3,3,1438.3
22,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,2,1,4470
23,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,2,2492
24,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,2,3,12217
25,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,1,2,7768
26,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,1,2,14784
27,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,2,10215
28,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,2,2,10100
29,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,0,0,4785
30,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,2,3,2753
31,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,5,1,2451
32,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,1,2,8923
33,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,2,3,2650
34,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,2,2,12555
35,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,2,1,3520
36,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,2,3,3035
37,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,3,3,15433
38,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,2,3672
39,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,4,3,7882
40,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,32426
41,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,1,0,6205
42,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,2,3,17304
43,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,2,1,3906
44,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,3,3,9830
45,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,2,3,34516
46,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,2,0,2283
47,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,2,2,2548
48,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,3,3,19458
49,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,1,1,4745
50,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,3,2,2622
51,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,3,1,1438.3
52,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,4,2,3171
53,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,2,0,19763
54,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,3,3,15769
55,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,4,2,3298
56,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,0,2802
57,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,2,3,4458
58,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,1,2,6273
59,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,3,3336
60,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,2,3,3436
61,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,4,4,34516
62,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,3,3,5926
63,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,4,2,23957
64,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,2,2,14734
65,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,1,4,34516
66,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,3,3,6584
67,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,3,3,2084
68,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,1687
69,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,2,2,25300
70,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,2,3,34516
71,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,3,3,2216
72,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,2,3,2910
73,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,2,2,22913
74,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,24312
75,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,3,2,5272
76,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,4,2,7000
77,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,2,7038
78,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,1,2,2536
79,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,3,2,28904
80,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,0,8567
81,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,2,2,34516
82,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,4,3,2158
83,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,3,3,10133
84,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,4,2,34516
85,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,3,0,3085
86,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,2,1,19040
87,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,2,3,4026
